requirement_id	work_package	normative_source	implementation_surface	test_or_evidence	current_status
R4-GRAPH-001	W0	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#23-profile-isolation-is-structural	Cargo.toml; apps/trillionnium-owner-open-host/Cargo.toml; docs/contracts/owner-open-forbidden-default-graph-v1.json	tools/verify-owner-open-foundation.py; test_forbidden_default_member_fails; test_forbidden_host_dependency_fails; test_legacy_source_marker_fails	SOURCE_IMPLEMENTED
R4-GRAPH-002	W0	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#6-w0--product-graph-isolation	apps/trillionnium-owner-open-host/Cargo.toml; crates/trillionnium-owner-open-types/Cargo.toml	tools/tests/test_verify_owner_open_foundation.py	SOURCE_IMPLEMENTED
R4-GRAPH-003	W0	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#62-concrete-source-boundaries	android-integration/working-tree/vendor/trillionnium/config/common.mk	future Android strict graph report	NOT_STARTED
R4-CODEC-001	W1	docs/protocols/owner-open-direct-agent-host-v1.md#1-transport	crates/trillionnium-owner-open-types/src/lib.rs::decode_strict_frame	strict_decoder_rejects_duplicate_members_recursively	SOURCE_IMPLEMENTED
R4-CODEC-002	W1	docs/protocols/owner-open-direct-agent-host-v1.md#2-envelope	crates/trillionnium-owner-open-types/src/lib.rs::RunTurnFrame	frame_extensions_round_trip_without_becoming_policy	SOURCE_IMPLEMENTED
R4-CODEC-003	W1	docs/protocols/owner-open-direct-agent-host-v1.md#2-envelope	crates/trillionnium-owner-open-types/src/lib.rs::validate_alias_pair	aliases_must_not_conflict	SOURCE_IMPLEMENTED
R4-CODEC-004	W1	docs/protocols/owner-open-direct-agent-host-v1.md#32-turnstart	crates/trillionnium-owner-open-types/src/lib.rs::RunTurnRequest; TurnCancelRequest	turn_start_requires_exact_mirrored_correlation_when_present; turn_cancel_is_typed_and_correlation_bound	SOURCE_IMPLEMENTED
R4-CODEC-005	W1	docs/protocols/owner-open-direct-agent-host-v1.md#5-shellexec	crates/trillionnium-owner-open-types/src/lib.rs::ToolCall::validate_shell_exec	shell_command_and_argv_are_first_class_and_mutually_exclusive	SOURCE_IMPLEMENTED
R4-CODEC-006	W1	docs/protocols/owner-open-direct-agent-host-v1.md#6-adbexec	crates/trillionnium-owner-open-types/src/lib.rs::ToolCall::validate_adb_exec	adb_unknown_subcommands_and_absent_target_are_transport_valid	SOURCE_IMPLEMENTED
R4-CODEC-007	W1	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#71-codec-rules	tools/generate-owner-open-types.py; crates/trillionnium-owner-open-types/src/generated.rs	generator --check	SOURCE_IMPLEMENTED
