requirement_id	work_package	source	test	evidence	status
R5-SELECTED-PATHS-001	W0	docs/contracts/owner-open-r5-selected-python-paths-v1.json;tools/verify-owner-open-selected-paths.py	tools/tests/test_verify_owner_open_selected_paths.py	runner-backed release workflow pending	SOURCE_IMPLEMENTED
R5-CODEX-SUPERVISOR-001	W2	tools/owner-open/supervise_codex_mcp_qualification_release.py	tools/tests/test_supervise_codex_mcp_qualification_release.py	installed target Codex pending	SOURCE_IMPLEMENTED
R5-CODEX-CONFIG-RESTORE-001	W5	tools/owner-open/supervise_codex_mcp_qualification.py;tools/owner-open/supervise_codex_mcp_qualification_release.py	test_success_requires_passed_terminal_and_restored_config;test_timeout_kills_group_and_restores_config	runner-backed release workflow pending	SOURCE_IMPLEMENTED
R5-CODEX-TERMINAL-001	W2	tools/owner-open/supervise_codex_mcp_qualification.py	test_inner_zero_exit_with_nonpassed_terminal_fails	installed target Codex pending	SOURCE_IMPLEMENTED
R5-CODEX-EVIDENCE-PARENT-001	W5	tools/owner-open/supervise_codex_mcp_qualification_release.py	test_nonprivate_evidence_parent_is_rejected	runner-backed release workflow pending	SOURCE_IMPLEMENTED
R5-MCP-TRACE-TEARDOWN-001	W5	tools/owner-open/trace_mcp_stdio.py	test_trace_proxy_closes_and_reaps_a_downstream_that_ignores_eof	runner-backed release workflow pending	SOURCE_IMPLEMENTED
R5-ADB-RELAY-SELECT-001	W4	tools/owner-open/adb_smart_socket_relay_release.py;docs/protocols/owner-open-adb-smart-socket-relay-v1.md	tools/tests/test_release_qualification_paths_v2.py	runner-backed release workflow pending	SOURCE_IMPLEMENTED
R5-ADB-BYTE-TRANSPARENT-001	W4	tools/owner-open/adb_smart_socket_relay_release.py	test_arbitrary_bytes_and_half_close_are_preserved	physical adb server pending	SOURCE_IMPLEMENTED
R5-ADB-CONCURRENT-001	W4	tools/owner-open/adb_smart_socket_relay_release.py	test_multiple_connections_are_isolated	physical concurrency pending	SOURCE_IMPLEMENTED
R5-ADB-LOOPBACK-001	W4	tools/owner-open/adb_smart_socket_relay_selected.py	test_network_exposure_is_rejected_before_bind	Android namespace/SELinux pending	SOURCE_IMPLEMENTED
R5-ADB-NO-PAYLOAD-LOG-001	W4	tools/owner-open/adb_smart_socket_relay_selected.py	test_arbitrary_bytes_and_half_close_are_preserved	runner-backed release workflow pending	SOURCE_IMPLEMENTED
R5-ADB-EVENT-BOUND-001	W5	tools/owner-open/adb_smart_socket_relay_selected.py	test_event_journal_bound_is_explicit	ENOSPC/fault qualification pending	SOURCE_IMPLEMENTED
R5-ADB-QUALIFY-SELECT-001	W4	tools/owner-open/qualify_owner_open_adb_release.py;docs/protocols/owner-open-adb-qualification-v1.md	tools/tests/test_release_qualification_paths_v2.py	physical target plan pending	SOURCE_IMPLEMENTED
R5-ADB-EXACT-ARGV-001	W4	tools/owner-open/qualify_owner_open_adb_selected.py	test_exact_argv_including_empty_argument_and_no_route_injection	physical adb argv evidence pending	SOURCE_IMPLEMENTED
R5-ADB-ONE-SPAWN-001	W4	tools/owner-open/qualify_owner_open_adb_selected.py	test_failed_step_is_recorded_once_before_runner_stops	physical uncertain-effect evidence pending	SOURCE_IMPLEMENTED
R5-ADB-FAILED-OBSERVATION-001	W5	tools/owner-open/qualify_owner_open_adb_selected.py	test_failed_step_is_recorded_once_before_runner_stops	runner-backed release workflow pending	SOURCE_IMPLEMENTED
R5-ADB-PREFLIGHT-001	W4	tools/owner-open/qualify_owner_open_adb_selected.py	test_invalid_plan_fails_before_creating_evidence_or_starting_relay	runner-backed release workflow pending	SOURCE_IMPLEMENTED
R5-ADB-EXPLICIT-EXECUTE-001	W4	tools/owner-open/qualify_owner_open_adb_selected.py	test_execute_flag_is_mandatory	runner-backed release workflow pending	SOURCE_IMPLEMENTED
R5-ADB-PHYSICAL-001	W4	docs/plan/owner-open-r5-batch-e-physical-adb.md	owner-authored physical plan plus same-turn Codex qualification	None	SPEC_ONLY
R5-ANDROID-PROFILE-001	W6	docs/status/owner-open-r5-status.json	strict Android graph verifier and target-files build	None	NOT_STARTED
R5-BATCH-E-QUAL-001	W7	docs/status/owner-open-r5-batch-e-status.json;.github/workflows/owner-open-r5-release-qualification.yml	release Python workflow plus Rust closure	None	SPEC_ONLY
