requirement_id	plan_scope	requirement	source	test	current_level	status	hold
R4-W2-001	W2 direct process substrate	command string is first-class and maps to configured shell -c	crates/trillionnium-owner-open-runtime/src/lib.rs::execute_shell	crates/trillionnium-owner-open-runtime/tests/runtime.rs::command_string_streams_raw_stdout_stderr_and_preserves_failure	L1	SOURCE_AUTHORED_VALIDATION_PENDING	Rust 1.93 execution not yet captured
R4-W2-002	W2 direct process substrate	argv elements are preserved without shell expansion	crates/trillionnium-owner-open-runtime/src/lib.rs::execute_shell	crates/trillionnium-owner-open-runtime/tests/runtime.rs::argv_is_element_preserving_and_does_not_expand_shell_text	L1	SOURCE_AUTHORED_VALIDATION_PENDING	Rust 1.93 execution not yet captured
R4-W2-003	W2 process context	cwd env delta and binary stdin are mechanical inputs	crates/trillionnium-owner-open-runtime/src/lib.rs::validate_common_request;execute_process	crates/trillionnium-owner-open-runtime/tests/runtime.rs::cwd_environment_delta_and_stdin_are_mechanical_inputs	L1	SOURCE_AUTHORED_VALIDATION_PENDING	Host integration absent
R4-W2-004	W2 event stream	raw stdout and stderr bytes are emitted with per-call sequence	crates/trillionnium-owner-open-runtime/src/lib.rs::ExecutionEvent;spawn_reader	crates/trillionnium-owner-open-runtime/tests/runtime.rs::command_string_streams_raw_stdout_stderr_and_preserves_failure	L1	SOURCE_AUTHORED_VALIDATION_PENDING	Protocol binary encoding bridge absent
R4-W2-005	W2 lifecycle	timeout terminates process group and reaps child	crates/trillionnium-owner-open-runtime/src/lib.rs::terminate_process_group	crates/trillionnium-owner-open-runtime/tests/runtime.rs::timeout_terminates_the_process_group_and_emits_one_terminal_event	L1	SOURCE_AUTHORED_VALIDATION_PENDING	PID namespace/cgroup Android proof absent
R4-W2-006	W2 lifecycle	cancellation has one spawn and one terminal without redispatch	crates/trillionnium-owner-open-runtime/src/lib.rs::CancellationToken;execute_process	crates/trillionnium-owner-open-runtime/tests/runtime.rs::cancellation_terminates_the_process_group_without_redispatch	L1	SOURCE_AUTHORED_VALIDATION_PENDING	Host call registry absent
R4-W2-007	W2 resource liveness	output cap is resource_exhausted not semantic denial	crates/trillionnium-owner-open-runtime/src/lib.rs::MechanicalLimits;execute_process	crates/trillionnium-owner-open-runtime/tests/runtime.rs::output_exhaustion_is_mechanical_and_returns_truncated_observation	L1	SOURCE_AUTHORED_VALIDATION_PENDING	Spool/backpressure integration absent
R4-W2-008	W2 truthful failure	spawn failure is accepted then terminal without started	crates/trillionnium-owner-open-runtime/src/lib.rs::execute_process	crates/trillionnium-owner-open-runtime/tests/runtime.rs::spawn_failure_is_an_honest_terminal_observation	L1	SOURCE_AUTHORED_VALIDATION_PENDING	Host wire mapping absent
R4-W3-001	W3 raw adb	adb executable receives exact argv and unknown subcommands	crates/trillionnium-owner-open-runtime/src/lib.rs::execute_adb	crates/trillionnium-owner-open-runtime/tests/runtime.rs::adb_exec_passes_unknown_future_argv_without_target_or_serial_injection	L1	SOURCE_AUTHORED_VALIDATION_PENDING	Real adb client/relay absent
R4-W3-002	W3 raw adb	wrapper injects no serial host port target or privilege	crates/trillionnium-owner-open-runtime/src/lib.rs::execute_adb	crates/trillionnium-owner-open-runtime/tests/runtime.rs::adb_exec_passes_unknown_future_argv_without_target_or_serial_injection	L1	SOURCE_AUTHORED_VALIDATION_PENDING	Physical device evidence absent
R4-W1-W2-001	W1/W2 host integration	provider tool call and all output return to same turn	NOT_IMPLEMENTED	NOT_IMPLEMENTED	L0	NOT_STARTED	Live Codex and Host runtime bridge absent
R4-W2-ROOTLINUX-001	W2 Root Linux	selected identity namespace cwd network and process custody applied	NOT_IMPLEMENTED	NOT_IMPLEMENTED	L0	NOT_STARTED	Root Linux integration absent
R4-W3-TOPOLOGY-001	W3 ADB topology	ordinary ARM64 adb or transparent relay defined and implemented	NOT_IMPLEMENTED	NOT_IMPLEMENTED	L0	NOT_STARTED	Topology ADR and Android payload absent
