requirement_id	capability	modules	gaps	source	tests	evidence	status
REQ-SEM-001	CAP-L1-MODULAR-SOURCE	MOD-PROTOCOL;MOD-PROVIDER		docs/PRODUCT_SEMANTICS.md	source:tools/docs/verify_global_docs.py:python3 tools/docs/verify_global_docs.py:.github/workflows/g1-exact-head-source.yml#docs-graph	EVID-G1-HEAD-PENDING	SOURCE_IMPLEMENTED
REQ-DOC-001	CAP-L1-MODULAR-SOURCE	MOD-EVIDENCE	GAP-DOC-SINGLE-TRUTH-001;GAP-GOVERNANCE-001	docs/machine/doc-set.v1.json;tools/docs/generate_global_docs.py	source:tools/docs/generate_global_docs.py:python3 tools/docs/generate_global_docs.py --check:.github/workflows/g1-exact-head-source.yml#docs-graph;source:tools/docs/verify_global_docs.py:python3 tools/docs/verify_global_docs.py:.github/workflows/g1-exact-head-source.yml#docs-graph	EVID-G1-HEAD-PENDING	SOURCE_IMPLEMENTED
REQ-MOD-001	CAP-L1-MODULAR-SOURCE	MOD-PROTOCOL;MOD-BROKER;MOD-TRANSPORT;MOD-EXECUTION-CORE;MOD-PROVIDER;MOD-TURN-ENGINE;MOD-TOOL-RUNTIME;MOD-JOB-RUNTIME;MOD-EVENT-STORE;MOD-STREAM;MOD-GLOBAL-CONTROL;MOD-TELEMETRY;MOD-ROOTLINUX;MOD-ANDROID;MOD-ADB;MOD-EVIDENCE	GAP-DOC-SINGLE-TRUTH-001	docs/machine/module-catalog.v1.json;docs/MODULE_DEVELOPMENT_STANDARD.md	source:tools/docs/verify_global_docs.py:python3 tools/docs/verify_global_docs.py:.github/workflows/g1-exact-head-source.yml#docs-graph;source:tools/docs/verify_global_docs.py:python3 tools/docs/verify_global_docs.py:.github/workflows/g1-synthetic-merge.yml#synthetic-merge	EVID-G1-HEAD-PENDING	SOURCE_IMPLEMENTED
REQ-EFFECT-001	CAP-L1-MODULAR-SOURCE	MOD-PROTOCOL;MOD-EXECUTION-CORE;MOD-JOB-RUNTIME;MOD-BROKER	GAP-JOURNAL-CONVERGENCE-001;GAP-CONC-TURN-CANCEL-001	docs/EFFECT_AND_PROTOCOL_STANDARD.md	source:crates/trillionnium-owner-open-runtime/src/lib.rs:cargo test --locked --all-targets:.github/workflows/g1-exact-head-source.yml#rust-runtime	EVID-G1-HEAD-PENDING	SOURCE_CLOSED_PENDING_EVIDENCE
REQ-BROKER-001	CAP-L2-INSTALLED-ROOTLINUX	MOD-BROKER;MOD-TRANSPORT	GAP-BROKER-CORRELATION-001;GAP-CONC-BROKER-MUX-001;GAP-STREAM-RECOVERY-001	tools/owner-open;docs/GLOBAL_ARCHITECTURE.md	source:tools/tests/test_owner_open_broker_mux.py:python3 -m unittest discover -s tools/tests -p test_owner_open_broker*.py:.github/workflows/g1-exact-head-source.yml#docs-graph;source:tools/tests/test_owner_open_connection_broker.py:python3 -m unittest discover -s tools/tests -p test_owner_open_connection_broker.py:.github/workflows/g1-exact-head-source.yml#docs-graph;source:tools/tests/test_owner_open_ingress_contract.py:python3 -m unittest discover -s tools/tests -p test_owner_open_ingress_contract.py:.github/workflows/g1-exact-head-source.yml#docs-graph;source:tools/tests/test_owner_open_broker_connections.py:python3 -m unittest discover -s tools/tests -p test_owner_open_broker*.py:.github/workflows/g1-exact-head-source.yml#docs-graph	EVID-G1-HEAD-PENDING	SOURCE_CLOSED_PENDING_EVIDENCE
REQ-JOB-001	CAP-L2-INSTALLED-ROOTLINUX	MOD-JOB-RUNTIME	GAP-CONC-JOB-START-HOTLOCK-001;GAP-PROCESS-LIFECYCLE-001;GAP-JOB-ADMISSION-001;GAP-CONC-REGISTRY-001	crates/trillionnium-owner-open-job-runtime	source:crates/trillionnium-owner-open-job-runtime/src/lib.rs:cargo test --locked --all-targets:.github/workflows/g1-exact-head-source.yml#rust-runtime	EVID-G1-HEAD-PENDING	SOURCE_CLOSED_PENDING_EVIDENCE
REQ-STORE-001	CAP-L2-INSTALLED-ROOTLINUX	MOD-EVENT-STORE	GAP-CONC-EVENT-STORE-001;GAP-JOURNAL-CONVERGENCE-001	crates/trillionnium-owner-open-event-store	source:crates/trillionnium-owner-open-event-store/src/lib.rs:cargo test --locked --all-targets:.github/workflows/g1-exact-head-source.yml#rust-runtime	EVID-G1-HEAD-PENDING	SOURCE_CLOSED_PENDING_EVIDENCE
REQ-CTRL-001	CAP-L2-INSTALLED-ROOTLINUX	MOD-GLOBAL-CONTROL;MOD-TELEMETRY	GAP-CONTROL-PLANE-SHADOW-001;GAP-PERF-SYSTEM-BASELINE-001	docs/GLOBAL_ARCHITECTURE.md;docs/PERFORMANCE_AND_OPTIMIZATION.md	source:planned/crates/trillionnium-global-control-plane/src/lib.rs:cargo test --locked --manifest-path planned/Cargo.toml --workspace --all-targets:.github/workflows/g1-exact-head-source.yml#planned-candidates;source:tools/perf/run_global_baseline.py:python3 tools/perf/run_global_baseline.py --output $RUNNER_TEMP/g1-global-baseline.json --repetitions 1:.github/workflows/g1-exact-head-source.yml#planned-candidates	EVID-G1-HEAD-PENDING	SOURCE_CLOSED_PENDING_EVIDENCE
REQ-ROOT-001	CAP-L2-INSTALLED-ROOTLINUX	MOD-ROOTLINUX;MOD-PROVIDER	GAP-INSTALLED-CODEX-001;GAP-ROOTLINUX-PLACEMENT-001	docs/OPERATIONS_AND_ROLLOUT.md;tools/owner-open/owner_open_rootlinux_supervisor.py;docs/modules/MOD-ROOTLINUX.md	external:docs/OPERATIONS_AND_ROLLOUT.md:installed target qualification;source:tools/tests/test_owner_open_rootlinux_supervisor.py:python3 -m unittest tools.tests.test_owner_open_rootlinux_supervisor -v:.github/workflows/g1-exact-head-source.yml#android-packaging-source;source:tools/tests/test_owner_open_rootlinux_supervisor.py:python3 -m unittest tools.tests.test_owner_open_rootlinux_supervisor -v:.github/workflows/g1-synthetic-merge.yml#synthetic-merge		EXTERNAL_HOLD
REQ-ANDROID-001	CAP-L3-ANDROID-IMAGE	MOD-ANDROID;MOD-ROOTLINUX	GAP-ANDROID-GRAPH-001;GAP-PRODUCT-ENTRYPOINT-001	android-integration;docs/OPERATIONS_AND_ROLLOUT.md	source:tools/verify-owner-open-android-source-closure-v2.py:python3 tools/verify-owner-open-android-source-closure-v2.py:.github/workflows/g1-exact-head-source.yml#android-packaging-source;source:tools/verify-owner-open-android-profile-v3.py:python3 tools/verify-owner-open-android-profile-v3.py:.github/workflows/g1-exact-head-source.yml#android-packaging-source;source:tools/tests/test_verify_owner_open_android_source_closure.py:python3 -m unittest tools.tests.test_verify_owner_open_android_source_closure tools.tests.test_verify_owner_open_android_profile -v:.github/workflows/g1-exact-head-source.yml#android-packaging-source;external:android-integration:clean Android Soong/init/SELinux and target-files qualification		EXTERNAL_HOLD
