requirement_id	work_package	source	test	evidence	status
R5-JOB-REGISTRY-001	W5	crates/trillionnium-owner-open-job-registry/src/registry.rs	crates/trillionnium-owner-open-job-registry/tests/registry.rs	docs/evidence/2026-08-28-owner-open-jobs-source.md	SOURCE_IMPLEMENTED
R5-JOB-IDENTITY-001	W5	crates/trillionnium-owner-open-job-registry/src/types.rs;apps/trillionnium-owner-open-host/src/bin/r5_control_host_v7/wire.rs	exact begin idempotency and drift conflict tests	docs/evidence/2026-08-28-owner-open-jobs-source.md	SOURCE_IMPLEMENTED
R5-JOB-JOURNAL-001	W5	crates/trillionnium-owner-open-job-runtime/src/journal.rs	accepted_without_terminal_is_unknown_and_not_redispatched	docs/evidence/2026-08-28-owner-open-jobs-source.md	SOURCE_IMPLEMENTED
R5-JOB-PIPE-001	W3	crates/trillionnium-owner-open-job-runtime/src/process.rs;src/manager.rs	pipe_job_supports_write_close_inspect_and_durable_terminal	docs/evidence/2026-08-28-owner-open-jobs-source.md	SOURCE_IMPLEMENTED
R5-JOB-PTY-001	W3	crates/trillionnium-owner-open-job-runtime/src/process.rs	pty_job_supports_resize_and_process_group_kill	docs/evidence/2026-08-28-owner-open-jobs-source.md	SOURCE_IMPLEMENTED
R5-JOB-CONTROL-001	W5	crates/trillionnium-owner-open-job-runtime/src/manager.rs	crates/trillionnium-owner-open-job-runtime/tests/runtime.rs	docs/evidence/2026-08-28-owner-open-jobs-source.md	SOURCE_IMPLEMENTED
R5-JOB-CARRIER-001	W5	apps/trillionnium-owner-open-host/src/bin/r5_control_host_v7.rs;src/bin/r5_control_host_v7/process.rs	apps/trillionnium-owner-open-host/tests/r5_jobs.rs	docs/evidence/2026-08-28-owner-open-jobs-source.md	SOURCE_IMPLEMENTED
R5-JOB-FLOW-001	W5	apps/trillionnium-owner-open-host/src/bin/r5_transport_host.rs;src/bin/r5_control_host_v7/wire.rs	transport flow-control tests plus job process tests pending exact runner	docs/evidence/2026-08-28-owner-open-jobs-source.md	SOURCE_IMPLEMENTED
R5-JOB-RESTART-001	W5	crates/trillionnium-owner-open-job-runtime/src/journal.rs;src/manager.rs	completed_durable_job_never_spawns_again_after_manager_restart;completed_job_is_not_redispatched_after_a_new_core_process	docs/evidence/2026-08-28-owner-open-jobs-source.md	SOURCE_IMPLEMENTED
R5-JOB-CODEX-001	W2	crates/trillionnium-owner-open-provider-jsonl/src/protocol.rs	live installed Codex job callback test	None	NOT_STARTED
R5-JOB-ANDROID-001	W6	Android Host/AiShell/Root Linux integration	physical pipe and PTY job matrix	None	NOT_STARTED
R5-JOB-FAULT-001	W7	job journal/runtime fault harness	Host crash, orphan, ENOSPC, reboot and power-loss matrix	None	NOT_STARTED
